date,home_away,opp_score,opposing,season,team,team_score,win_lost
2016-05-05,HOME,6,SEA,reg,HOU,3,L
2016-05-06,HOME,3,SEA,reg,HOU,6,W
2016-05-07,HOME,3,SEA,reg,HOU,2,L
2016-05-08,HOME,1,SEA,reg,HOU,5,W
2016-05-09,HOME,1,CLE,reg,HOU,7,W
2016-05-10,HOME,4,CLE,reg,HOU,0,L
2016-05-11,HOME,3,CLE,reg,HOU,5,W
2016-05-20,HOME,2,TEX,reg,HOU,1,L
2016-05-21,HOME,2,TEX,reg,HOU,1,L
2016-05-22,HOME,9,TEX,reg,HOU,2,L
2016-05-24,HOME,2,BAL,reg,HOU,3,W
2016-05-25,HOME,3,BAL,reg,HOU,4,W
2016-05-26,HOME,2,BAL,reg,HOU,4,W
2016-06-01,HOME,4,ARI,reg,HOU,5,W
2016-06-02,HOME,3,ARI,reg,HOU,0,L
2016-06-03,HOME,2,OAK,reg,HOU,12,W
2016-06-04,HOME,5,OAK,reg,HOU,6,W
2016-06-05,HOME,2,OAK,reg,HOU,5,W
2016-06-17,HOME,4,CIN,reg,HOU,2,L
2016-06-18,HOME,4,CIN,reg,HOU,5,W
2016-06-19,HOME,0,CIN,reg,HOU,6,W
2016-06-20,HOME,7,LAA,reg,HOU,10,W
2016-06-21,HOME,2,LAA,reg,HOU,3,W
2016-06-22,HOME,2,LAA,reg,HOU,3,W
2016-07-01,HOME,0,CHW,reg,HOU,5,W
2016-07-02,HOME,7,CHW,reg,HOU,6,L
2016-07-03,HOME,4,CHW,reg,HOU,1,L
2016-07-04,HOME,1,SEA,reg,HOU,2,W
2016-07-05,HOME,2,SEA,reg,HOU,5,W
2016-07-06,HOME,8,SEA,reg,HOU,9,W
2016-07-07,HOME,3,OAK,reg,HOU,1,L
2016-07-08,HOME,9,OAK,reg,HOU,10,W
2016-07-09,HOME,3,OAK,reg,HOU,2,L
2016-07-10,HOME,1,OAK,reg,HOU,2,W
2016-07-22,HOME,1,LAA,reg,HOU,2,W
2016-07-23,HOME,2,LAA,reg,HOU,7,W
2016-07-24,HOME,3,LAA,reg,HOU,13,W
2016-07-25,HOME,2,NYY,reg,HOU,1,L
2016-07-26,HOME,6,NYY,reg,HOU,3,L
2016-07-27,HOME,1,NYY,reg,HOU,4,W
2016-08-01,HOME,1,TOR,reg,HOU,2,W
2016-08-02,HOME,2,TOR,reg,HOU,1,L
2016-08-03,HOME,3,TOR,reg,HOU,1,L
2016-08-04,HOME,4,TOR,reg,HOU,1,L
2016-08-05,HOME,0,TEX,reg,HOU,5,W
2016-08-06,HOME,3,TEX,reg,HOU,2,L
2016-08-07,HOME,5,TEX,reg,HOU,3,L
2016-08-16,HOME,8,STL,reg,HOU,5,L
2016-08-17,HOME,8,STL,reg,HOU,2,L
2016-08-26,HOME,4,TBR,reg,HOU,5,W
2016-08-27,HOME,2,TBR,reg,HOU,6,W
2016-08-28,HOME,10,TBR,reg,HOU,4,L
2016-08-29,HOME,0,OAK,reg,HOU,6,W
2016-08-30,HOME,1,OAK,reg,HOU,3,W
2016-08-31,HOME,3,OAK,reg,HOU,4,W
2016-09-09,HOME,2,CHC,reg,HOU,0,L
2016-09-10,HOME,1,CHC,reg,HOU,2,W
2016-09-11,HOME,9,CHC,reg,HOU,5,L
2016-09-12,HOME,4,TEX,reg,HOU,3,L
2016-09-13,HOME,3,TEX,reg,HOU,2,L
2016-09-14,HOME,4,TEX,reg,HOU,8,W
2016-09-22,HOME,2,LAA,reg,HOU,0,L
2016-09-23,HOME,10,LAA,reg,HOU,6,L
2016-09-24,HOME,10,LAA,reg,HOU,4,L
2016-09-25,HOME,1,LAA,reg,HOU,4,W
2016-09-26,HOME,4,SEA,reg,HOU,3,L
2016-09-27,HOME,4,SEA,reg,HOU,8,W
2016-09-28,HOME,12,SEA,reg,HOU,4,L
2017-04-03,HOME,0,SEA,reg,HOU,3,W
2017-04-04,HOME,1,SEA,reg,HOU,2,W
2017-04-05,HOME,3,SEA,reg,HOU,5,W
2017-04-06,HOME,4,SEA,reg,HOU,2,L
2017-04-07,HOME,5,KCR,reg,HOU,1,L
2017-04-08,HOME,7,KCR,reg,HOU,3,L
2017-04-09,HOME,4,KCR,reg,HOU,5,W
2017-04-17,HOME,0,LAA,reg,HOU,3,W
2017-04-18,HOME,5,LAA,reg,HOU,2,L
2017-04-19,HOME,1,LAA,reg,HOU,5,W
2017-04-20,HOME,1,LAA,reg,HOU,2,W
2017-04-28,HOME,4,OAK,reg,HOU,9,W
2017-04-29,HOME,2,OAK,reg,HOU,1,L
2017-04-30,HOME,2,OAK,reg,HOU,7,W
2017-05-01,HOME,2,TEX,reg,HOU,6,W
2017-05-02,HOME,7,TEX,reg,HOU,8,W
2017-05-03,HOME,1,TEX,reg,HOU,10,W
2017-05-04,HOME,10,TEX,reg,HOU,4,L
2017-05-09,HOME,3,ATL,reg,HOU,8,W
2017-05-10,HOME,2,ATL,reg,HOU,4,W
2017-05-19,HOME,5,CLE,reg,HOU,3,L
2017-05-20,HOME,3,CLE,reg,HOU,0,L
2017-05-21,HOME,8,CLE,reg,HOU,6,L
2017-05-22,HOME,0,DET,reg,HOU,1,W
2017-05-23,HOME,2,DET,reg,HOU,6,W
2017-05-24,HOME,6,DET,reg,HOU,3,L
2017-05-25,HOME,6,DET,reg,HOU,7,W
2017-05-26,HOME,0,BAL,reg,HOU,2,W
2017-05-27,HOME,2,BAL,reg,HOU,5,W
2017-05-28,HOME,4,BAL,reg,HOU,8,W
2017-06-09,HOME,9,LAA,reg,HOU,4,L
2017-06-10,HOME,1,LAA,reg,HOU,3,W
2017-06-11,HOME,12,LAA,reg,HOU,6,L
2017-06-12,HOME,6,TEX,reg,HOU,1,L
2017-06-13,HOME,4,TEX,reg,HOU,2,L
2017-06-14,HOME,2,TEX,reg,HOU,13,W
2017-06-16,HOME,2,BOS,reg,HOU,1,L
2017-06-17,HOME,1,BOS,reg,HOU,7,W
2017-06-18,HOME,6,BOS,reg,HOU,5,L
2017-06-27,HOME,6,OAK,reg,HOU,4,L
2017-06-28,HOME,8,OAK,reg,HOU,11,W
2017-06-29,HOME,1,OAK,reg,HOU,6,W
2017-06-30,HOME,13,NYY,reg,HOU,4,L
2017-07-01,HOME,6,NYY,reg,HOU,7,W
2017-07-02,HOME,1,NYY,reg,HOU,8,W
2017-07-14,HOME,5,MIN,reg,HOU,10,W
2017-07-15,HOME,4,MIN,reg,HOU,2,L
2017-07-16,HOME,3,MIN,reg,HOU,5,W
2017-07-17,HOME,9,SEA,reg,HOU,7,L
2017-07-18,HOME,2,SEA,reg,HOU,6,W
2017-07-19,HOME,4,SEA,reg,HOU,1,L
2017-07-31,HOME,7,TBR,reg,HOU,14,W
2017-08-01,HOME,6,TBR,reg,HOU,4,L
2017-08-02,HOME,3,TBR,reg,HOU,0,L
2017-08-03,HOME,5,TBR,reg,HOU,3,L
2017-08-04,HOME,7,TOR,reg,HOU,16,W
2017-08-05,HOME,4,TOR,reg,HOU,3,L
2017-08-06,HOME,6,TOR,reg,HOU,7,W
2017-08-16,HOME,5,ARI,reg,HOU,9,W
2017-08-17,HOME,4,ARI,reg,HOU,0,L
2017-08-18,HOME,1,OAK,reg,HOU,3,W
2017-08-19,HOME,0,OAK,reg,HOU,3,W
2017-08-20,HOME,3,OAK,reg,HOU,2,L
2017-08-22,HOME,4,WSN,reg,HOU,3,L
2017-08-23,HOME,1,WSN,reg,HOU,6,W
2017-08-24,HOME,5,WSN,reg,HOU,4,L
2017-08-29,HOME,12,TEX,reg,HOU,2,L
2017-08-30,HOME,8,TEX,reg,HOU,1,L
2017-08-31,HOME,1,TEX,reg,HOU,5,W
2017-09-02,HOME,8,NYM,reg,HOU,12,W
2017-09-02,HOME,1,NYM,reg,HOU,4,W
2017-09-03,HOME,6,NYM,reg,HOU,8,W
2017-09-15,HOME,2,SEA,reg,HOU,5,W
2017-09-16,HOME,6,SEA,reg,HOU,8,W
2017-09-17,HOME,1,SEA,reg,HOU,7,W
2017-09-19,HOME,1,CHW,reg,HOU,3,W
2017-09-20,HOME,3,CHW,reg,HOU,4,W
2017-09-21,HOME,3,CHW,reg,HOU,1,L
2017-09-22,HOME,0,LAA,reg,HOU,3,W
2017-09-23,HOME,2,LAA,reg,HOU,6,W
2017-09-24,HOME,7,LAA,reg,HOU,5,L
2015-10-11 00:00:00,HOME,2,Kansas City,plo,HOU,4,
2015-10-12 00:00:00,HOME,9,Kansas City,plo,HOU,6,
2017-10-05 00:00:00,HOME,2,Boston,plo,HOU,8,
2017-10-06 00:00:00,HOME,2,Boston,plo,HOU,8,
2017-10-13 00:00:00,HOME,1,New York,plo,HOU,2,
2017-10-14 00:00:00,HOME,1,New York,plo,HOU,2,
2017-10-20 00:00:00,HOME,1,New York,plo,HOU,7,
2017-10-21 00:00:00,HOME,0,New York,plo,HOU,4,
2017-10-27 00:00:00,HOME,3,Los Angeles,plo,HOU,5,
2017-10-28 00:00:00,HOME,6,Los Angeles,plo,HOU,2,
2017-10-29 00:00:00,HOME,12,Los Angeles,plo,HOU,13,
