date,team,opponent,win_lost,runs,runs_against,season
2017-05-03,HOU,TEX,W,10,1,regular
2017-05-04,HOU,TEX,L,4,10,regular
2017-05-09,HOU,ATL,W,8,3,regular
2017-05-10,HOU,ATL,W,4,2,regular
2017-05-19,HOU,CLE,L,3,5,regular
2017-05-20,HOU,CLE,L,0,3,regular
2017-05-21,HOU,CLE,L,6,8,regular
2017-05-22,HOU,DET,W,1,0,regular
2017-05-23,HOU,DET,W,6,2,regular
2017-05-24,HOU,DET,L,3,6,regular
2017-05-25,HOU,DET,W,7,6,regular
2017-05-26,HOU,BAL,W,2,0,regular
2017-05-27,HOU,BAL,W,5,2,regular
2017-05-28,HOU,BAL,W,8,4,regular
2017-06-09,HOU,LAA,L,4,9,regular
2017-06-10,HOU,LAA,W,3,1,regular
2017-06-11,HOU,LAA,L,6,12,regular
2017-06-12,HOU,TEX,L,1,6,regular
2017-06-13,HOU,TEX,L,2,4,regular
2017-06-14,HOU,TEX,W,13,2,regular
2017-06-16,HOU,BOS,L,1,2,regular
2017-06-17,HOU,BOS,W,7,1,regular
2017-06-18,HOU,BOS,L,5,6,regular
2017-06-27,HOU,OAK,L,4,6,regular
2017-06-28,HOU,OAK,W,11,8,regular
2017-06-29,HOU,OAK,W,6,1,regular
2017-06-30,HOU,NYY,L,4,13,regular
2017-07-01,HOU,NYY,W,7,6,regular
2017-07-02,HOU,NYY,W,8,1,regular
2017-07-14,HOU,MIN,W,10,5,regular
2017-07-15,HOU,MIN,L,2,4,regular
2017-07-16,HOU,MIN,W,5,3,regular
2017-07-17,HOU,SEA,L,7,9,regular
2017-07-18,HOU,SEA,W,6,2,regular
2017-07-19,HOU,SEA,L,1,4,regular
2017-07-31,HOU,TBR,W,14,7,regular
2017-08-01,HOU,TBR,L,4,6,regular
2017-08-02,HOU,TBR,L,0,3,regular
2017-08-03,HOU,TBR,L,3,5,regular
2017-08-04,HOU,TOR,W,16,7,regular
2017-08-05,HOU,TOR,L,3,4,regular
2017-08-06,HOU,TOR,W,7,6,regular
2017-08-16,HOU,ARI,W,9,5,regular
2017-08-17,HOU,ARI,L,0,4,regular
2017-08-18,HOU,OAK,W,3,1,regular
2017-08-19,HOU,OAK,W,3,0,regular
2017-08-20,HOU,OAK,L,2,3,regular
2017-08-22,HOU,WSN,L,3,4,regular
2017-08-23,HOU,WSN,W,6,1,regular
2017-08-24,HOU,WSN,L,4,5,regular
2017-08-29,HOU,TEX,L,2,12,regular
2017-08-30,HOU,TEX,L,1,8,regular
2017-08-31,HOU,TEX,W,5,1,regular
2017-09-02,HOU,NYM,W,12,8,regular
2017-09-02,HOU,NYM,W,4,1,regular
2017-09-03,HOU,NYM,W,8,6,regular
2017-09-15,HOU,SEA,W,5,2,regular
2017-09-16,HOU,SEA,W,8,6,regular
2017-09-17,HOU,SEA,W,7,1,regular
2017-09-19,HOU,CHW,W,3,1,regular
2017-09-20,HOU,CHW,W,4,3,regular
2017-09-21,HOU,CHW,L,1,3,regular
2017-09-22,HOU,LAA,W,3,0,regular
2017-09-23,HOU,LAA,W,6,2,regular
2017-09-24,HOU,LAA,L,5,7,regular
2015-10-11,HOU,KCR,W,4,2,playoffs
2015-10-12,HOU,KCR,L,6,9,playoffs
2017-10-06,HOU,BOS,W,8,2,playoffs
2017-10-13,HOU,NYY,W,2,1,playoffs
2017-10-14,HOU,NYY,W,2,1,playoffs
2017-10-20,HOU,NYY,W,7,1,playoffs
2017-10-21,HOU,NYY,W,4,0,playoffs
2017-10-27,HOU,LAD,W,5,3,playoffs
2017-10-28,HOU,LAD,L,2,6,playoffs
2017-10-29,HOU,LAD,W,13,12,playoffs
